"Used_laptop","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39"
"Yes","Nursery","Urban","Ahafo Ano South East","Male",0,0,0,0,0
"Yes","Nursery","Urban","Ahafo Ano South East","Female",0,0,0,0,0
"Yes","Nursery","Urban","Sekyere Central","Both sexes",0,0,0,0,0
"Yes","Nursery","Urban","Sekyere Central","Male",0,0,0,0,0
"Yes","Nursery","Urban","Sekyere Central","Female",0,0,0,0,0
"Yes","Nursery","Urban","Western North","Both sexes",0,0,0,0,0
"Yes","Nursery","Urban","Western North","Male",0,0,0,0,0
"Yes","Nursery","Urban","Western North","Female",0,0,0,0,0
"Yes","Nursery","Urban","Ahafo","Both sexes",0,0,0,0,0
"Yes","Nursery","Urban","Ahafo","Male",0,0,0,0,0
"Yes","Nursery","Urban","Ahafo","Female",0,0,0,0,0
"Yes","Nursery","Urban","Bono","Both sexes",0,0,0,1,0
"Yes","Nursery","Urban","Bono","Male",0,0,0,1,0
"Yes","Nursery","Urban","Bono","Female",0,0,0,0,0
"Yes","Nursery","Urban","Dormaa Central Municipal","Both sexes",0,0,0,0,0
"Yes","Nursery","Urban","Dormaa Central Municipal","Male",0,0,0,0,0
"Yes","Nursery","Urban","Dormaa Central Municipal","Female",0,0,0,0,0
"Yes","Nursery","Urban","Bono East","Both sexes",0,0,0,0,0
"Yes","Nursery","Urban","Bono East","Male",0,0,0,0,0
"Yes","Nursery","Urban","Bono East","Female",0,0,0,0,0
"Yes","Nursery","Urban","Oti","Both sexes",0,0,0,0,0
"Yes","Nursery","Urban","Oti","Male",0,0,0,0,0
"Yes","Nursery","Urban","Oti","Female",0,0,0,0,0
"Yes","Nursery","Urban","Northern","Both sexes",0,1,0,0,1
"Yes","Nursery","Urban","Northern","Male",0,1,0,0,1
"Yes","Nursery","Urban","Northern","Female",0,0,0,0,0
"Yes","Nursery","Urban","TMA-Tamale Central","Both sexes",0,1,0,0,0
"Yes","Nursery","Urban","TMA-Tamale Central","Male",0,1,0,0,0
"Yes","Nursery","Urban","TMA-Tamale Central","Female",0,0,0,0,0
"Yes","Nursery","Urban","Savannah","Both sexes",0,0,0,0,0
"Yes","Nursery","Urban","Savannah","Male",0,0,0,0,0
"Yes","Nursery","Urban","Savannah","Female",0,0,0,0,0
"Yes","Nursery","Urban","Central Gonja","Both sexes",0,0,0,0,0
"Yes","Nursery","Urban","Central Gonja","Male",0,0,0,0,0
"Yes","Nursery","Urban","Central Gonja","Female",0,0,0,0,0
"Yes","Nursery","Urban","Upper East","Both sexes",0,0,1,0,0
"Yes","Nursery","Urban","Upper East","Male",0,0,1,0,0
"Yes","Nursery","Urban","Upper East","Female",0,0,0,0,0
"Yes","Nursery","Urban","Upper West","Both sexes",0,0,0,0,1
"Yes","Nursery","Urban","Upper West","Male",0,0,0,0,0
"Yes","Nursery","Urban","Upper West","Female",0,0,0,0,1
"Yes","Kindergarten","All Locality Types","Western","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Western","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Western","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Wassa Amenfi Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Wassa Amenfi Central","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Wassa Amenfi Central","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Central","Both sexes",0,0,1,1,0
"Yes","Kindergarten","All Locality Types","Central","Male",0,0,0,1,0
"Yes","Kindergarten","All Locality Types","Central","Female",0,0,1,0,0
"Yes","Kindergarten","All Locality Types","Gomoa Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Gomoa Central","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Gomoa Central","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Greater Accra","Both sexes",0,0,3,2,5
"Yes","Kindergarten","All Locality Types","Greater Accra","Male",0,0,3,2,2
"Yes","Kindergarten","All Locality Types","Greater Accra","Female",0,0,0,0,3
"Yes","Kindergarten","All Locality Types","Ga Central Municipal","Both sexes",0,0,0,0,1
"Yes","Kindergarten","All Locality Types","Ga Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ga Central Municipal","Female",0,0,0,0,1
"Yes","Kindergarten","All Locality Types","Ablekuma Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ablekuma Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ablekuma Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ayawaso Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ayawaso Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ayawaso Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","TMA-Tema Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","TMA-Tema Central","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","TMA-Tema Central","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Volta","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Volta","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Volta","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Central Tongu","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Central Tongu","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Central Tongu","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Eastern","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Eastern","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Eastern","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Birim Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Birim Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Birim Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Upper West Akim","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Upper West Akim","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Upper West Akim","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ashanti","Both sexes",0,0,1,0,2
"Yes","Kindergarten","All Locality Types","Ashanti","Male",0,0,1,0,0
"Yes","Kindergarten","All Locality Types","Ashanti","Female",0,0,0,0,2
"Yes","Kindergarten","All Locality Types","Amansie Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Amansie Central","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Amansie Central","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Asante Akim Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Asante Akim Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Asante Akim Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ahafo Ano South West","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ahafo Ano South West","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ahafo Ano South West","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ahafo Ano North Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ahafo Ano North Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ahafo Ano North Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ahafo Ano South East","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ahafo Ano South East","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ahafo Ano South East","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Sekyere Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Sekyere Central","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Sekyere Central","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Western North","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Western North","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Western North","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ahafo","Both sexes",0,0,1,0,0
"Yes","Kindergarten","All Locality Types","Ahafo","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Ahafo","Female",0,0,1,0,0
"Yes","Kindergarten","All Locality Types","Bono","Both sexes",0,1,0,0,0
"Yes","Kindergarten","All Locality Types","Bono","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Bono","Female",0,1,0,0,0
"Yes","Kindergarten","All Locality Types","Dormaa Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Dormaa Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Dormaa Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Bono East","Both sexes",0,0,1,0,0
"Yes","Kindergarten","All Locality Types","Bono East","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Bono East","Female",0,0,1,0,0
"Yes","Kindergarten","All Locality Types","Oti","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Oti","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Oti","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Northern","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Northern","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Northern","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","TMA-Tamale Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","TMA-Tamale Central","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","TMA-Tamale Central","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Savannah","Both sexes",0,0,1,0,0
"Yes","Kindergarten","All Locality Types","Savannah","Male",0,0,1,0,0
"Yes","Kindergarten","All Locality Types","Savannah","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Central Gonja","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Central Gonja","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Central Gonja","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Upper East","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Upper East","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Upper East","Female",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Upper West","Both sexes",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Upper West","Male",0,0,0,0,0
"Yes","Kindergarten","All Locality Types","Upper West","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Western","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Western","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Western","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Wassa Amenfi Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Wassa Amenfi Central","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Wassa Amenfi Central","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Central","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Central","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Gomoa Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Gomoa Central","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Gomoa Central","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Greater Accra","Both sexes",0,0,0,0,1
"Yes","Kindergarten","Rural","Greater Accra","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Greater Accra","Female",0,0,0,0,1
"Yes","Kindergarten","Rural","Ga Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Ga Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Ga Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Ablekuma Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Ablekuma Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Ablekuma Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Ayawaso Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Ayawaso Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Ayawaso Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","TMA-Tema Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","TMA-Tema Central","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","TMA-Tema Central","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Volta","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Volta","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Volta","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Central Tongu","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Central Tongu","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Central Tongu","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Eastern","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Eastern","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Eastern","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Birim Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Birim Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Birim Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Upper West Akim","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Upper West Akim","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Upper West Akim","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Ashanti","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Ashanti","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Ashanti","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Amansie Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Amansie Central","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Amansie Central","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Asante Akim Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Asante Akim Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Asante Akim Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Ahafo Ano South West","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Ahafo Ano South West","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Ahafo Ano South West","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Ahafo Ano North Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Ahafo Ano North Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Ahafo Ano North Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Ahafo Ano South East","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Ahafo Ano South East","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Ahafo Ano South East","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Sekyere Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Sekyere Central","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Sekyere Central","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Western North","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Western North","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Western North","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Ahafo","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Ahafo","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Ahafo","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Bono","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Bono","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Bono","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Dormaa Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Dormaa Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Dormaa Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Bono East","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Bono East","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Bono East","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Oti","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Oti","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Oti","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Northern","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Northern","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Northern","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","TMA-Tamale Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","TMA-Tamale Central","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","TMA-Tamale Central","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Savannah","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Savannah","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Savannah","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Central Gonja","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Central Gonja","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Central Gonja","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Upper East","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Upper East","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Upper East","Female",0,0,0,0,0
"Yes","Kindergarten","Rural","Upper West","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Rural","Upper West","Male",0,0,0,0,0
"Yes","Kindergarten","Rural","Upper West","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Western","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Western","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Western","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Wassa Amenfi Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Wassa Amenfi Central","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Wassa Amenfi Central","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Central","Both sexes",0,0,1,1,0
"Yes","Kindergarten","Urban","Central","Male",0,0,0,1,0
"Yes","Kindergarten","Urban","Central","Female",0,0,1,0,0
"Yes","Kindergarten","Urban","Gomoa Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Gomoa Central","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Gomoa Central","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Greater Accra","Both sexes",0,0,3,2,4
"Yes","Kindergarten","Urban","Greater Accra","Male",0,0,3,2,2
"Yes","Kindergarten","Urban","Greater Accra","Female",0,0,0,0,2
"Yes","Kindergarten","Urban","Ga Central Municipal","Both sexes",0,0,0,0,1
"Yes","Kindergarten","Urban","Ga Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Ga Central Municipal","Female",0,0,0,0,1
"Yes","Kindergarten","Urban","Ablekuma Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Ablekuma Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Ablekuma Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Ayawaso Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Ayawaso Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Ayawaso Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","TMA-Tema Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","TMA-Tema Central","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","TMA-Tema Central","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Volta","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Volta","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Volta","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Central Tongu","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Central Tongu","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Central Tongu","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Eastern","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Eastern","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Eastern","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Birim Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Birim Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Birim Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Upper West Akim","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Upper West Akim","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Upper West Akim","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Ashanti","Both sexes",0,0,1,0,2
"Yes","Kindergarten","Urban","Ashanti","Male",0,0,1,0,0
"Yes","Kindergarten","Urban","Ashanti","Female",0,0,0,0,2
"Yes","Kindergarten","Urban","Amansie Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Amansie Central","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Amansie Central","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Asante Akim Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Asante Akim Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Asante Akim Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Ahafo Ano South West","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Ahafo Ano South West","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Ahafo Ano South West","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Ahafo Ano North Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Ahafo Ano North Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Ahafo Ano North Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Ahafo Ano South East","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Ahafo Ano South East","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Ahafo Ano South East","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Sekyere Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Sekyere Central","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Sekyere Central","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Western North","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Western North","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Western North","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Ahafo","Both sexes",0,0,1,0,0
"Yes","Kindergarten","Urban","Ahafo","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Ahafo","Female",0,0,1,0,0
"Yes","Kindergarten","Urban","Bono","Both sexes",0,1,0,0,0
"Yes","Kindergarten","Urban","Bono","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Bono","Female",0,1,0,0,0
"Yes","Kindergarten","Urban","Dormaa Central Municipal","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Dormaa Central Municipal","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Dormaa Central Municipal","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Bono East","Both sexes",0,0,1,0,0
"Yes","Kindergarten","Urban","Bono East","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Bono East","Female",0,0,1,0,0
"Yes","Kindergarten","Urban","Oti","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Oti","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Oti","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Northern","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Northern","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Northern","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","TMA-Tamale Central","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","TMA-Tamale Central","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","TMA-Tamale Central","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Savannah","Both sexes",0,0,1,0,0
"Yes","Kindergarten","Urban","Savannah","Male",0,0,1,0,0
"Yes","Kindergarten","Urban","Savannah","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Central Gonja","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Central Gonja","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Central Gonja","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Upper East","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Upper East","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Upper East","Female",0,0,0,0,0
"Yes","Kindergarten","Urban","Upper West","Both sexes",0,0,0,0,0
"Yes","Kindergarten","Urban","Upper West","Male",0,0,0,0,0
"Yes","Kindergarten","Urban","Upper West","Female",0,0,0,0,0
"Yes","Primary","All Locality Types","Western","Both sexes",39,56,59,50,38
"Yes","Primary","All Locality Types","Western","Male",22,27,34,30,23
"Yes","Primary","All Locality Types","Western","Female",17,29,25,20,15
"Yes","Primary","All Locality Types","Wassa Amenfi Central","Both sexes",2,6,1,2,3
"Yes","Primary","All Locality Types","Wassa Amenfi Central","Male",0,1,1,2,2
"Yes","Primary","All Locality Types","Wassa Amenfi Central","Female",2,5,0,0,1
"Yes","Primary","All Locality Types","Central","Both sexes",28,88,63,72,69
"Yes","Primary","All Locality Types","Central","Male",13,47,40,39,37
"Yes","Primary","All Locality Types","Central","Female",15,41,23,33,32
"Yes","Primary","All Locality Types","Gomoa Central","Both sexes",0,0,1,2,3
"Yes","Primary","All Locality Types","Gomoa Central","Male",0,0,0,2,1
"Yes","Primary","All Locality Types","Gomoa Central","Female",0,0,1,0,2
"Yes","Primary","All Locality Types","Greater Accra","Both sexes",84,214,268,223,211
"Yes","Primary","All Locality Types","Greater Accra","Male",40,141,164,128,119
"Yes","Primary","All Locality Types","Greater Accra","Female",44,73,104,95,92
"Yes","Primary","All Locality Types","Ga Central Municipal","Both sexes",5,15,17,7,9
"Yes","Primary","All Locality Types","Ga Central Municipal","Male",2,8,11,2,5
"Yes","Primary","All Locality Types","Ga Central Municipal","Female",3,7,6,5,4
"Yes","Primary","All Locality Types","Ablekuma Central Municipal","Both sexes",5,17,13,11,6
"Yes","Primary","All Locality Types","Ablekuma Central Municipal","Male",2,12,11,6,5
"Yes","Primary","All Locality Types","Ablekuma Central Municipal","Female",3,5,2,5,1
"Yes","Primary","All Locality Types","Ayawaso Central Municipal","Both sexes",0,1,4,2,6
"Yes","Primary","All Locality Types","Ayawaso Central Municipal","Male",0,1,4,2,3
"Yes","Primary","All Locality Types","Ayawaso Central Municipal","Female",0,0,0,0,3
"Yes","Primary","All Locality Types","TMA-Tema Central","Both sexes",1,2,4,1,2
"Yes","Primary","All Locality Types","TMA-Tema Central","Male",0,0,3,0,2
